"TA","Pending"
"stephlewyh","['https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/43', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/42', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/41', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/40', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/24', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/22', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/15']"
"ct15","[]"
"nishantbudhdev","['https://github.com/nusCS2113-AY1819S1/addressbook-level1/pull/9', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/35', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/44', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/45', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/39', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/36', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/38', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/37', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/34', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/33', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/32', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/31', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/28', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/29', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/30', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/14', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/13']"
"okkhoy","[]"
"devamanyu","[]"
"ewaldhew","[]"
"rubap","[]"
"fanyiii","['https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/51']"
"sri-vatsa","[]"
"marlenekoh","['https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/54', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/53', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/21', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/17', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/18', 'https://github.com/nusCS2113-AY1819S1/addressbook-level3/pull/16']"
"jordancjq","[]"
