Student,Team,Java,UG,DG,Test,Junit,Peer_Review
allenzb,T09-3,2,2,0,2,0,1
amirulmaricar,T13-3,0,0,0,0,0,0
arty9,T09-2,0,0,0,0,0,0
brandonccm1996,T12-2,1,1,0,1,0,1
chensongjian,T13-1,5,1,0,2,0,0
chewkahmeng,T12-2,1,1,0,1,0,1
chewkinwhye,T12-3,0,0,0,0,0,0
chiaxr,T12-1,7,1,0,2,0,0
chokxy,T12-2,2,0,0,0,0,1
chuazhenwei,T16-4,6,1,0,2,0,1
clara1234566,T13-4,3,1,0,2,0,1
cqinkai,T12-1,7,0,0,0,0,1
darylnigel,T09-3,2,1,0,0,0,1
daryltew,T13-5,8,2,0,0,0,1
davindran,T12-3,3,1,0,2,0,0
dyeosy98,T13-3,0,0,0,0,0,0
e0176882,T13-4,3,1,0,1,0,1
e0191729,T13-2,5,1,0,2,0,1
fr3ddy4,T16-2,1,1,0,0,0,1
ftywan,T09-1,2,0,0,0,0,1
gaoqikai,T12-3,0,0,0,0,0,0
garagaristahir,T13-3,0,0,0,0,0,0
garyheng,T13-5,2,1,0,0,0,1
geraldcdx,T12-1,2,1,0,2,0,1
hafizuddin-nus,T16-3,8,1,0,2,0,1
hanskoh,T13-2,2,1,0,2,0,1
harriuscai,T16-3,2,1,0,3,1,1
hehaowei,T12-1,0,0,0,0,0,0
hyukiejun,T09-3,12,2,0,4,4,1
ian-tjahjono,T13-1,0,0,0,0,0,0
icedcoffeeboy,T16-2,6,1,0,4,1,1
jamesyaputra,T12-1,4,1,0,2,0,1
jeevz10,T16-2,2,1,0,2,0,1
jieliangang,T16-2,6,1,0,3,1,1
jomcruz93,T16-1,2,1,0,0,0,0
jylee-git,T16-3,4,1,0,2,0,1
kelvintankaiboon,T12-3,4,1,0,9,0,0
limyisheng,T16-4,7,1,0,2,0,1
luhan02,T13-1,5,1,0,2,0,1
m-aslam-mj2,T16-1,2,1,0,3,1,1
meowzz95,T13-2,3,1,0,2,0,1
nguyenngoclinhchi,T09-4,10,1,0,1,0,1
novin997,T13-4,11,1,0,4,2,1
oscarzeng,T09-4,3,1,0,2,0,1
parask26,T13-3,0,0,0,0,0,0
perrythewang,T16-2,10,0,0,7,5,1
pinjuen,T16-3,5,1,0,1,0,1
psyf,T09-1,7,1,0,2,0,1
qzsg,T13-1,6,1,0,1,1,1
rajdeepsh,T13-4,5,1,0,2,0,1
ryanchen2018,T16-4,4,1,0,2,0,1
shiningggg,T09-2,1,1,1,2,0,1
shouteck,T13-5,10,2,0,4,0,1
sijieg,T13-5,14,1,0,9,8,1
speezy37,T16-3,5,1,0,0,0,1
t0roloco,T13-1,0,0,0,0,0,0
tenvinc,T09-4,7,1,0,4,2,1
teojunjie,T09-1,5,1,0,4,1,1
tertium3,T12-1,0,0,0,0,0,0
tristyxxnana,T16-1,2,1,0,3,1,1
trufflepirate,T09-1,3,1,0,3,1,1
tsuweiquan,T13-4,6,1,0,3,1,1
tztzt,T09-4,7,0,0,2,0,1
woonhian,T16-3,7,1,0,2,0,1
xhxh96,T12-2,5,1,0,2,0,1
xiaoyunhan,T09-2,0,0,0,0,0,0
xiiaopanda,T16-4,7,1,0,2,0,1
xinshenzi,T09-2,0,0,0,0,0,0
xllx1,T13-2,4,1,0,2,0,1
xshaivan,T12-2,2,0,0,0,0,1
yicheng12,T13-5,2,0,0,0,0,1
za-yn,T09-3,5,1,0,3,2,1
zhicaizack,T16-1,2,1,0,3,1,1
zhihong8888,T16-4,8,1,0,3,1,1
