"Student","Team","Team_Repo","Team_PR","Fork","DG","UG","AboutUs","README","Java"
"bluein-green","W12-4","1","0","1","0","0","1","1","0"
"liu-tianhang","W12-4","1","0","0","0","0","0","0","0"
"lunastryke","W12-4","1","0","0","0","0","0","0","0"
"scottljw","W12-4","1","0","0","0","0","0","0","0"
"driedmelon","W12-1","1","0","1","0","1","0","0","0"
"elstonayx","W12-1","1","0","1","0","0","0","0","0"
"jitwei98","W12-1","1","0","1","1","0","1","0","1"
"junweiljw","W12-1","1","0","1","1","0","0","0","1"
"linnnruoo","W12-1","1","0","1","0","0","0","1","1"
"chanchuncheong","W13-3","1","0","0","0","0","0","0","0"
"chelseyong","W13-3","1","0","1","0","0","0","0","0"
"emobeany","W13-3","1","0","1","0","0","0","0","0"
"jeremyinelysium","W13-3","1","0","0","0","0","0","0","0"
"alexiscatnip","W13-1","1","1","1","0","0","0","0","0"
"bennchong","W13-1","1","1","1","0","0","0","0","1"
"cjinting-nus","W13-1","1","1","1","0","0","0","0","0"
"nianfei97","W13-1","1","1","1","1","1","1","1","1"
"guiyong96","W13-4","1","0","0","0","0","0","0","0"
"iashcole","W13-4","1","0","0","0","0","0","0","0"
"kennethcsj","W13-4","1","0","1","0","0","0","0","0"
"kohjunkiat","W13-4","1","0","0","0","0","0","0","0"
"arjo129","W13-2","1","0","0","0","0","0","0","0"
"cjunxiang","W13-2","1","0","0","0","0","0","0","0"
"shuanang","W13-2","1","0","0","0","0","0","0","0"
"tttaus","W13-2","1","0","0","0","0","0","0","0"
"lekoook","W12-3","1","0","1","0","0","0","0","1"
"limminghong","W12-3","1","0","0","0","0","0","0","0"
"lowginwee","W12-3","1","0","0","0","0","0","0","0"
"lws803","W12-3","1","0","1","1","1","0","1","1"
"peiying98","W12-3","1","0","1","0","0","0","0","0"
"auskure","W12-2","1","0","1","0","0","0","0","0"
"bearperson1","W12-2","1","0","0","0","0","0","0","0"
"e0201942","W12-2","1","0","0","0","0","0","0","0"
"leegengyu","W12-2","1","0","0","0","0","0","0","0"
